select_model_id,select_regDate,select_mile,select_partition_month,city,car_id
1147417,2018/9/17,4.4777,2019/11/22,宁夏,45961
1147417,2018/6/27,4.8567,2019/11/22,宁夏,45973
1147417,2018/6/25,6.8595,2019/11/22,新疆,45978
1147417,2018/9/19,3.0942,2019/11/22,河南,45979
1147417,2018/9/20,5.0426,2019/11/22,河南,45981
1147417,2018/9/19,3.2338,2019/11/22,河南,45982
1147417,2018/6/26,6.2525,2019/11/22,新疆,45985
1147417,2018/6/27,6.1882,2019/11/22,宁夏,45999
1147417,2018/6/27,5.3421,2019/11/22,内蒙古,46000
1147417,2018/6/28,2.0951,2019/11/22,新疆,46005
1147417,2018/6/25,4.9138,2019/11/22,甘肃,46009
1147417,2018/6/25,4.5349,2019/11/22,内蒙古,46011
1147417,2018/9/3,4.991,2019/11/22,内蒙古,46013
1147417,2018/7/2,6.6887,2019/11/22,内蒙古,46014
1147417,2018/9/4,3.9404,2019/11/22,内蒙古,46015
1147417,2018/9/4,3.078,2019/11/22,内蒙古,46016
1147417,2018/9/4,3.9624,2019/11/22,内蒙古,46017
1147417,2018/9/4,3.4961,2019/11/22,内蒙古,46018
1147417,2018/9/4,3.483,2019/11/22,内蒙古,46020
1147417,2018/7/2,5.351,2019/11/22,宁夏,46022
1147417,2018/7/2,4.862,2019/11/22,内蒙古,46026
1147417,2018/7/3,4.3312,2019/11/22,内蒙古,46028
1147417,2018/7/3,5.0919,2019/11/22,内蒙古,46029
1147417,2018/7/2,3.8568,2019/11/22,内蒙古,46031
1147417,2018/7/2,4.2727,2019/11/22,内蒙古,46032
1147417,2018/9/4,3.7191,2019/11/22,内蒙古,46034
1147417,2018/9/4,3.2801,2019/11/22,内蒙古,46035
1147417,2018/7/3,4.9778,2019/11/22,内蒙古,46036
1147417,2018/7/6,5.0947,2019/11/22,北京,46107
1147417,2018/7/6,4.5041,2019/11/22,北京,46120
1147417,2018/7/6,3.148,2019/11/22,北京,46135
1147417,2018/9/18,3.4707,2019/11/22,陕西,46137
1147417,2018/7/3,4.997,2019/11/22,山西,46140
1147417,2018/7/3,2.9099,2019/11/22,山西,46145
1147417,2018/7/3,4.4064,2019/11/22,山西,46151
1147417,2018/6/26,4.579,2019/11/22,山西,46152
1147417,2018/6/27,6.2958,2019/11/22,山西,46158
1147417,2018/9/1,3.8776,2019/11/22,陕西,46159
1147417,2018/9/10,3.5327,2019/11/22,陕西,46160
1147417,2018/6/27,5.0166,2019/11/22,山西,46164
1147417,2018/7/3,3.5056,2019/11/22,河北,46165
1147417,2018/9/10,3.4163,2019/11/22,陕西,46167
1147417,2018/6/26,4.5287,2019/11/22,山西,46171
1147417,2018/9/10,5.0317,2019/11/22,陕西,46194
1147417,2018/9/4,3.8022,2019/11/22,山西,46204
1147417,2018/9/10,2.9924,2019/11/22,陕西,46211
1147417,2018/9/10,2.4461,2019/11/22,山西,46212
1147417,2018/6/13,4.9825,2019/11/22,黑龙江,46240
1147417,2018/6/13,3.859,2019/11/22,黑龙江,46241
1147417,2018/6/13,4.5373,2019/11/22,黑龙江,46245
1147417,2018/6/13,4.8749,2019/11/22,辽宁,46246
1147417,2018/8/31,4.6793,2019/11/22,黑龙江,46250
1147417,2018/6/13,4.7849,2019/11/22,黑龙江,46254
1147417,2018/9/12,5.013,2019/11/22,贵州,46271
1147417,2018/9/5,2.1265,2019/11/22,陕西,46295
1147417,2018/9/5,5.3161,2019/11/22,甘肃,46297
1147417,2018/9/5,4.7672,2019/11/22,甘肃,46299
1147417,2018/9/5,3.3246,2019/11/22,甘肃,46300
1147417,2018/9/5,3.1194,2019/11/22,甘肃,46302
1147417,2018/9/5,3.8271,2019/11/22,甘肃,46305
1147417,2018/9/5,4.4063,2019/11/22,北京,46307
1147417,2018/9/5,4.6953,2019/11/22,甘肃,46313
1147417,2018/9/5,3.6386,2019/11/22,甘肃,46315
1147417,2018/6/14,5.9273,2019/11/22,甘肃,46320
1147417,2018/6/14,6.2396,2019/11/22,甘肃,46321
1147417,2018/6/14,6.9781,2019/11/22,内蒙古,46322
1147417,2018/6/15,8.5569,2019/11/22,甘肃,46324
1147417,2018/6/14,8.3935,2019/11/22,甘肃,46325
1147417,2018/6/14,4.2241,2019/11/22,甘肃,46327
1147417,2018/6/15,4.823,2019/11/22,内蒙古,46332
1147417,2018/6/14,7.2196,2019/11/22,内蒙古,46334
1147417,2018/6/14,3.8009,2019/11/22,甘肃,46338
1147417,2018/6/14,4.7738,2019/11/22,宁夏,46339
1147417,2018/6/14,6.9895,2019/11/22,甘肃,46340
1147417,2018/6/14,6.3375,2019/11/22,甘肃,46341
1147417,2018/6/1,5.0209,2019/11/22,陕西,46343
1147417,2018/6/15,6.8029,2019/11/22,内蒙古,46345
1147417,2018/6/14,6.185,2019/11/22,宁夏,46346
1147417,2018/6/14,5.3134,2019/11/22,陕西,46349
